Instance,Solution_ID,Z1_Pareto,Z2_Pareto,Time_Sec
Arc111_c=17067.alb,1,11,200902,3.4369
Arc111_c=6267.alb,1,32,937,5.3776
Arc111_c=6267.alb,2,28,100986,5.3776
Arc111_c=6267.alb,3,30,958,5.3776
Arc111_c=6267.alb,4,29,100965,5.3776
Arc111_c=6267.alb,5,31,944,5.3776
Arc111_c=9400.alb,1,22,888,1.0126
Arc111_c=9400.alb,2,18,100986,1.0126
Arc111_c=9400.alb,3,19,944,1.0126
Arc111_c=9400.alb,4,20,902,1.0126
Arc111_c=9400.alb,5,21,895,1.0126
Arc83_c=5408.alb,1,18,100692,2.4486
Arc83_c=5408.alb,2,16,400776,2.4486
Arc83_c=5408.alb,3,17,100706,2.4486
Arc83_c=5824.alb,1,16,400685,3.8171
Arc83_c=5824_1.alb,1,17,664,0.7942
Arc83_c=5824_1.alb,2,15,734,0.7942
Arc83_c=5824_1.alb,3,16,678,0.7942
Arc83_c=7571.alb,1,13,800692,3.3135
Arc83_c=7571.alb,2,12,800706,3.3135
arc83_c=8412.alb,1,11,600671,2.039
arc83_c=8898.alb,1,11,664,0.7702
arc83_c=8898.alb,2,10,699,0.7702
barthol2_c=106.alb,1,54,1219,1.5086
barthol2_c=106.alb,2,48,1359,1.5086
barthol2_c=106.alb,3,49,1310,1.5086
barthol2_c=106.alb,4,52,1233,1.5086
barthol2_c=106.alb,5,51,1261,1.5086
barthol2_c=106.alb,6,50,1289,1.5086
barthol2_c=106.alb,7,53,1226,1.5086
barthol2_c=125.alb,1,45,1198,1.479
barthol2_c=125.alb,2,41,1317,1.479
barthol2_c=125.alb,3,43,1233,1.479
barthol2_c=125.alb,4,42,1261,1.479
barthol2_c=125.alb,5,44,1212,1.479
barthol2_c=125_1.alb,1,46,101240,11.6472
barthol2_c=125_1.alb,2,41,301324,11.6472
barthol2_c=125_1.alb,3,42,101289,11.6472
barthol2_c=125_1.alb,4,43,101261,11.6472
barthol2_c=125_1.alb,5,44,101247,11.6472
barthol2_c=93.alb,1,59,101268,24.6105
barthol2_c=93.alb,2,54,301366,24.6105
barthol2_c=93.alb,3,55,101331,24.6105
barthol2_c=93.alb,4,57,101289,24.6105
barthol2_c=93.alb,5,56,101310,24.6105
barthol2_c=93.alb,6,58,101275,24.6105
barthold_c=626.alb,1,11,1401219,6.9791
hahn_c=2338.alb,1,8,200431,0.8587
hahn_c=2338.alb,2,7,200445,0.8587
lutz2_c=12.alb,1,59,733,8.4901
lutz2_c=12.alb,2,52,824,8.4901
lutz2_c=12.alb,3,53,796,8.4901
lutz2_c=12.alb,4,56,754,8.4901
lutz2_c=12.alb,5,55,768,8.4901
lutz2_c=12.alb,6,54,782,8.4901
lutz2_c=12.alb,7,58,740,8.4901
lutz2_c=12.alb,8,57,747,8.4901
lutz2_c=13.alb,1,56,747,8.1243
lutz2_c=13.alb,2,50,845,8.1243
lutz2_c=13.alb,3,51,796,8.1243
lutz2_c=13.alb,4,54,761,8.1243
lutz2_c=13.alb,5,53,775,8.1243
lutz2_c=13.alb,6,52,782,8.1243
lutz2_c=13.alb,7,55,754,8.1243
lutz2_c=18.alb,1,38,726,0.8592
lutz2_c=18.alb,2,34,789,0.8592
lutz2_c=18.alb,3,35,761,0.8592
lutz2_c=18.alb,4,37,733,0.8592
lutz2_c=18.alb,5,36,747,0.8592
lutz3_c=127.alb,1,17,100719,1.5853
lutz3_c=127.alb,2,16,100747,1.5853
lutz3_c=127_1.alb,1,17,719,2.7009
lutz3_c=127_1.alb,2,16,100754,2.7009
lutz3_c=75.alb,1,29,500761,9.6584
lutz3_c=75.alb,2,26,1000810,9.6584
lutz3_c=75.alb,3,27,500796,9.6584
lutz3_c=75.alb,4,28,500775,9.6584
mukherje_c=192.alb,1,29,780,3.5493
mukherje_c=192.alb,2,26,843,3.5493
mukherje_c=192.alb,3,27,801,3.5493
mukherje_c=192.alb,4,28,787,3.5493
mukherje_c=222.alb,1,25,773,3.3196
mukherje_c=222.alb,2,23,836,3.3196
mukherje_c=222.alb,3,24,801,3.3196
mukherje_c=248.alb,1,22,794,3.1926
mukherje_c=248.alb,2,20,822,3.1926
mukherje_c=248.alb,3,21,801,3.1926
mukherje_c=248_1.alb,1,23,773,3.2061
mukherje_c=248_1.alb,2,20,100836,3.2061
mukherje_c=248_1.alb,3,21,801,3.2061
mukherje_c=248_1.alb,4,22,780,3.2061
mukherje_c=301.alb,1,18,752,0.8492
mukherje_c=301.alb,2,17,780,0.8492
mukherje_c=301_1.alb,1,18,500780,5.2103
mukherje_c=301_1.alb,2,17,600808,5.2103
mukherje_c=351.alb,1,16,1200766,8.5457
mukherje_c=351.alb,2,14,3900815,8.5457
mukherje_c=351.alb,3,15,1600780,8.5457
scholl_c=1548.alb,1,58,2411,3.2764
scholl_c=1548.alb,2,55,2488,3.2764
scholl_c=1548.alb,3,56,2446,3.2764
scholl_c=1548.alb,4,57,2418,3.2764
scholl_c=1659.alb,1,54,2397,3.2264
scholl_c=1659.alb,2,50,2565,3.2264
scholl_c=1659.alb,3,51,2488,3.2264
scholl_c=1659.alb,4,53,2411,3.2264
scholl_c=1659.alb,5,52,2453,3.2264
scholl_c=1742.alb,1,52,2418,3.1723
scholl_c=1742.alb,2,47,2565,3.1723
scholl_c=1742.alb,3,48,2488,3.1723
scholl_c=1742.alb,4,50,2432,3.1723
scholl_c=1742.alb,5,49,2446,3.1723
scholl_c=2177.alb,1,41,2418,3.036
scholl_c=2177.alb,2,38,2495,3.036
scholl_c=2177.alb,3,39,2432,3.036
scholl_c=2322.alb,1,37,502446,26.1154
scholl_c=2322.alb,2,36,602509,26.1154
Tonge70_c=176.alb,1,26,595,3.1991
Tonge70_c=176.alb,2,23,300672,3.1991
Tonge70_c=176.alb,3,24,651,3.1991
Tonge70_c=176.alb,4,25,609,3.1991
Tonge70_c=251.alb,1,19,567,1.7976
Tonge70_c=251.alb,2,18,588,1.7976
Tonge70_c=251.alb,3,17,616,1.7976
Tonge70_c=251.alb,4,16,400623,1.7976
Tonge70_c=293.alb,1,16,581,2.7447
Tonge70_c=293.alb,2,14,200623,2.7447
Tonge70_c=293.alb,3,15,100602,2.7447
Tonge70_c=293_1.alb,1,16,567,1.7665
Tonge70_c=293_1.alb,2,14,100623,1.7665
Tonge70_c=293_1.alb,3,15,588,1.7665
warnecke_c=104.alb,1,21,471,0.5931
warnecke_c=104.alb,2,18,527,0.5931
warnecke_c=104.alb,3,19,492,0.5931
warnecke_c=104.alb,4,20,478,0.5931
warnecke_c=56.alb,1,38,471,1.764
warnecke_c=56.alb,2,34,520,1.764
warnecke_c=56.alb,3,37,478,1.764
warnecke_c=56.alb,4,36,492,1.764
warnecke_c=56.alb,5,35,506,1.764
warnecke_c=58.alb,1,37,464,2.985
warnecke_c=58.alb,2,33,100527,2.985
warnecke_c=58.alb,3,34,506,2.985
warnecke_c=58.alb,4,35,485,2.985
warnecke_c=58.alb,5,36,471,2.985
warnecke_c=78.alb,1,28,471,1.4702
warnecke_c=78.alb,2,24,541,1.4702
warnecke_c=78.alb,3,25,513,1.4702
warnecke_c=78.alb,4,26,492,1.4702
warnecke_c=78.alb,5,27,478,1.4702
warnecke_c=86.alb,1,26,478,2.3017
warnecke_c=86.alb,2,23,520,2.3017
warnecke_c=86.alb,3,24,492,2.3017
warnecke_c=86.alb,4,25,485,2.3017
warnecke_c=97.alb,1,21,100506,2.0451
warnecke_c=97.alb,2,19,100548,2.0451
warnecke_c=97.alb,3,20,100513,2.0451
warnecke_c=97_1.alb,1,22,100478,1.3507
warnecke_c=97_1.alb,2,19,200541,1.3507
warnecke_c=97_1.alb,3,20,100513,1.3507
warnecke_c=97_1.alb,4,21,100485,1.3507
wee-mag_c=29.alb,1,67,600,7.0994
wee-mag_c=29.alb,2,63,656,7.0994
wee-mag_c=29.alb,3,64,635,7.0994
wee-mag_c=29.alb,4,66,607,7.0994
wee-mag_c=29.alb,5,65,621,7.0994
wee-mag_c=36.alb,1,63,607,0.8509
wee-mag_c=36.alb,2,60,635,0.8509
wee-mag_c=36.alb,3,61,621,0.8509
wee-mag_c=36.alb,4,62,614,0.8509
wee-mag_c=36_1.alb,1,64,600,0.8775
wee-mag_c=36_1.alb,2,60,635,0.8775
wee-mag_c=36_1.alb,3,61,621,0.8775
wee-mag_c=36_1.alb,4,63,607,0.8775
wee-mag_c=36_1.alb,5,62,614,0.8775
wee-mag_c=40.alb,1,62,600,6.5877
wee-mag_c=40.alb,2,60,614,6.5877
wee-mag_c=40.alb,3,61,607,6.5877
wee-mag_c=41.alb,1,61,600,11.766
wee-mag_c=41.alb,2,59,621,11.766
wee-mag_c=41.alb,3,60,607,11.766
wee-mag_c=52.alb,1,35,747,2.6287
wee-mag_c=52.alb,2,33,775,2.6287
wee-mag_c=52.alb,3,34,754,2.6287
